mukey,n
173383,14
173384,1780
173385,15
173386,563
173387,17
173389,164
173391,26
173393,4
173394,3
173395,42
173396,124
173398,469
173399,160
173401,76
173402,62
173403,74
173404,1188
173405,92
173406,169
173409,13
173411,57
173412,191
173413,51
173414,6
173415,8
173417,205
173420,435
173421,4
173422,12
173423,303
173424,451
173425,45
173426,87
173429,217
173430,69
173436,8
173437,2
173438,46
173439,840
173440,332
173441,512
173442,19
173443,25
173444,2
173445,2759
173446,1025
173447,287
173448,38
173452,927
173453,310
173457,265
173458,56
173461,99
173466,396
173471,428
173472,60
173473,223
173474,50
173475,340
173476,17
173832,70
173833,120
173834,102
173835,46
173836,10
173837,37
173838,35
173839,114
173840,54
173841,59
173842,48
173843,36
173844,55
173845,24
173846,65
173847,49
173848,74
173850,76
173851,50
173852,57
173853,23
173854,11
173855,86
173856,4
173857,145
173858,64
173859,4
173860,129
173861,143
173862,118
173863,7
173864,107
173865,29
173866,17
173867,68
173868,39
173869,51
173870,32
173871,62
173872,68
173873,8
173874,83
173875,34
173876,2
173878,107
173879,51
173880,24
173881,9
173882,218
173883,11
173884,2
173885,261
173886,340
173887,192
173888,50
173889,465
173890,275
173891,92
173892,54
173893,28
173894,469
173895,449
173896,87
173897,15
173913,123
173918,45
173921,81
173928,73
173929,321
173930,41
173942,2
173947,22
173952,11
173961,22
173967,127
173969,12
173976,81
173980,76
173981,48
173982,201
173983,39
173988,45
173993,52
173994,16
173995,44
173996,26
173998,36
174001,19
174003,17
174005,75
174006,63
174008,9
174009,6
174011,1
174013,16
174021,3
174023,60
174027,11
174038,2
174040,15
174041,10
174044,4
174047,16
174048,25
174050,2
174052,45
174057,132
174059,268
174063,10
174065,4
174082,38
174083,37
174085,339
174092,3
174096,31
174097,62
174098,85
174099,187
174100,50
174106,7
174112,10
174113,24
174114,1
174115,2
174116,22
174117,13
174122,176
174123,107
174124,2
174126,20
174127,60
174128,42
174131,104
174132,119
174133,17
174134,31
174135,39
174137,26
174140,2
174141,9
174142,4
174143,1
174155,172
174156,94
174157,2
174163,11
174164,5
174165,9
174166,16
174169,22
174171,19
174174,5
174176,27
174184,2
174186,4
174191,11
174195,37
174196,18
174200,15
174201,5
174202,5
174206,1
174207,2
174213,10
174214,8
174215,11
174216,76
174217,28
174218,285
174220,6
174224,43
174225,5
174227,31
174228,34
174229,14
174230,11
174231,24
174232,13
174255,30
174631,287
174632,212
174633,85
174634,22
174635,67
174636,67
174637,134
174638,115
174639,25
174640,76
174641,227
174642,1
174643,94
174645,152
174646,10
174647,16
174648,81
174649,5
174650,261
174651,181
174652,28
174653,96
174654,201
174655,77
174656,173
174657,171
174658,239
174659,58
174661,7
174662,32
174663,49
174664,39
174665,156
174666,135
174667,37
174668,100
174669,51
174670,19
174671,19
174672,25
174673,8
174674,71
174675,68
174676,7
174677,33
174678,111
174679,31
174680,27
174681,20
174682,54
174683,740
174684,398
174685,362
174686,270
174687,26
174688,139
174689,212
174690,553
174691,243
174783,336
174784,1658
174786,112
174787,18
174788,9
174789,20
174791,38
174792,879
174793,7
174794,160
174795,142
174796,37
174797,162
174798,839
174799,43
174800,26
174801,392
174802,20
174803,27
174804,75
174805,62
174806,18
174807,15
174808,3
174809,10
174811,65
174812,55
174813,25
174814,97
174815,33
174817,2
174818,1
174819,25
174820,19
174822,29
174823,53
174824,25
174825,7
174826,93
174827,24
174828,15
174829,54
174831,48
174832,12
174834,30
174835,38
174836,182
174838,1
174839,5
174840,7
174841,354
174843,28
174844,28
174845,5
174846,23
174847,41
174849,78
174850,23
174851,11
174852,9
174853,144
174854,40
174855,6
174856,32
174857,30
174858,10
174862,10
174863,15
174864,385
174865,3
174866,425
174867,64
174868,13
174869,33
174870,141
174871,220
174872,101
174873,31
174874,217
174875,96
174876,19
174877,10
174878,15
174880,39
175114,707
175115,480
175116,115
175117,630
175118,1001
175119,593
175120,211
175121,194
175122,172
175123,492
175124,26
175125,17
175126,83
175127,60
175128,79
175129,37
175130,30
175131,114
175132,22
175133,18
175134,14
175135,30
175136,81
175137,1073
175138,194
175139,43
175140,178
175141,7
175142,401
175143,28
175144,44
175145,21
175146,144
175147,33
175148,3
175149,6
175150,2
175151,29
175152,16
175153,6
175154,275
175155,81
175156,4
175157,4
175158,26
175159,184
175160,30
175161,239
175162,37
175163,604
175164,11
175165,803
175166,209
175167,1
175168,2
175169,62
175170,51
175171,24
175172,21
175173,506
175174,358
175175,67
175176,6
175177,12
175178,69
175179,7
175180,3
175181,73
175182,2
175183,17
175184,159
175185,227
175187,132
175188,152
175189,8
175192,2
175193,343
175194,20
175195,608
175196,286
175197,1393
175199,998
175200,7
175201,10
175202,719
175203,599
175204,1123
175206,81
175207,136
175208,160
175210,61
175211,336
175212,477
175213,26
175215,1
175216,28
175217,156
175219,1
175220,35
175222,1
175224,32
175225,41
175226,48
175227,1
175229,34
175230,21
175231,9
175232,24
175233,4
175234,72
175235,3
175236,14
175237,500
175238,45
175239,272
175240,97
175241,19
175242,23
175243,19
175244,327
175245,47
175410,121
175411,195
175412,114
175416,10
175417,2
175418,11
175419,8
175420,12
175421,571
175422,78
175423,195
175424,178
175425,268
175426,44
175428,167
175430,58
175431,4
175432,54
175433,21
175434,18
175435,26
175436,9
175437,13
175438,6
175439,54
175440,112
175441,89
175442,75
175445,25
175446,10
175448,158
175449,33
175450,87
175451,14
175452,57
175454,26
175455,35
175456,4
175457,2
175458,68
175459,36
175460,23
175461,6
175462,1
175463,11
175464,5
175465,49
175466,20
175467,23
175468,830
175469,54
175470,395
175471,23
175472,57
175473,54
175474,143
175476,6
175477,2
175481,11
175482,35
175483,115
175484,106
175485,39
175487,37
175488,24
175489,15
175491,31
175492,58
175493,66
175494,3
175500,27
175501,44
175502,17
175503,9
175504,60
175505,52
175509,16
175510,13
175511,16
175513,175
175516,4
175517,83
175519,3
175520,5
175523,2
175528,1
175530,20
175531,15
175533,2
175534,1
175535,1
175536,20
175537,578
175538,13
175539,175
175540,1250
175541,77
175542,34
175543,66
175544,172
175545,54
175546,58
175547,286
175548,134
175549,174
175550,536
175551,561
175552,20
175553,172
175554,626
175555,67
175556,25
175557,114
175558,40
175559,455
175560,59
175561,6
175562,28
175563,354
175564,264
175565,1617
175566,234
175567,30
175568,9
175569,21
175570,24
175571,225
175572,30
175573,252
175574,21
175575,37
175576,57
175577,118
175578,45
175579,191
175580,127
175581,17
175582,72
175583,340
175584,340
175585,250
175586,27
175587,99
175588,127
175589,20
175590,66
175591,24
175592,38
175593,611
175594,295
175595,2206
175596,41
175597,11
175598,53
175599,227
175600,62
175601,15
175602,19
175603,298
175604,453
175605,124
175606,27
176625,3
176627,55
176628,10
176629,6
176630,168
176631,9
176632,57
176633,15
176635,2
176636,18
176637,9
176638,12
176639,2
176640,7
176641,4
176642,7
176643,136
176644,25
176645,3
176646,37
176647,7
176648,4
176649,29
176650,2
176651,3
176653,283
176654,789
176655,44
176656,331
176657,19
176659,176
176661,442
176662,104
176663,6
176664,53
176665,88
176666,2
176667,3
176668,3
176669,3
176670,4
176671,23
176672,179
176673,13
176674,8
176675,30
176676,91
176677,6
176678,12
176679,5
176680,17
176681,14
176682,51
176683,6
176684,9
176686,193
176687,31
176688,79
176689,8
176690,12
176691,255
176692,72
176693,51
176695,53
176701,1
176702,250
176703,58
176705,9
176706,66
176707,35
176709,42
176710,8
176711,99
176712,12
176715,1
176716,4
176718,6
176721,2
176723,45
176724,21
176725,10
176726,8
176727,5
176728,81
176729,1
176730,67
176731,126
176732,21
176733,15
176735,16
176738,7
176739,31
176740,14
176742,1
176746,109
176747,13
176748,7
176749,5
176751,9
176752,48
176753,113
176754,10
176755,5
176756,2
176757,25
176758,150
176759,38
176760,146
176761,2
176762,47
176764,37
176765,101
176766,75
176767,11
176768,496
176770,2
176773,3
176774,8
176778,19
176779,4
176780,4
176781,11
176783,120
176784,12
176785,31
176913,129
176914,190
176915,2
176916,48
176917,22
176918,3
176919,510
176920,151
176921,469
176922,10
176923,416
176924,27
176925,168
176926,479
176927,182
176928,25
176929,76
176930,27
176931,8
176932,20
176933,292
176934,55
176935,248
176936,19
176937,16
176938,6
176939,60
176940,105
176941,19
176942,1
176943,1
176944,24
176945,413
176946,2198
176947,1542
176948,29
176949,8
176950,11
176951,57
176952,9
176953,17
176954,14
176955,616
176956,167
176957,235
176958,14
176959,95
176960,121
176961,17
176962,213
176963,18
176964,67
176965,5
176966,80
176967,59
176968,30
176969,31
176970,98
176971,87
176972,35
176974,27
176975,60
176976,65
176977,22
176978,70
176979,123
176980,43
176981,434
176982,2
176983,2
176984,33
176985,5
176986,247
176987,135
176988,7
176990,71
176991,62
176992,5
176993,186
176994,513
176995,81
176996,22
176997,817
176998,180
176999,4
177000,370
177002,38
177003,15
177005,4
177006,768
177007,35
177008,709
177009,49
177747,7
177748,3
177749,2
177750,22
177751,6
177752,240
177753,26
177754,25
177755,40
177756,22
177757,1
177758,324
177759,198
177760,86
177761,315
177762,6
177763,39
177764,29
177765,115
177766,62
177767,130
177768,67
177769,14
177770,85
177771,174
177772,134
177773,21
177774,194
177775,4
177776,241
177777,29
177778,40
177779,25
177780,5
177781,11
177783,13
177784,30
177785,3
177786,12
177787,17
177788,15
177789,3
177790,10
177791,70
177792,179
177793,44
177794,4
177795,35
177796,199
177797,25
177798,93
177799,7
177800,142
177801,58
177802,253
177803,61
177804,323
177805,118
177806,21
177807,123
177808,47
177809,104
177810,105
177811,195
177812,75
177813,5
177814,334
177815,418
177816,79
177817,25
177818,4
177819,107
177820,11
177821,33
177822,69
177823,14
177824,8
177825,22
177826,356
177827,54
177828,19
177829,47
177830,196
177831,36
178851,297
178852,406
178853,29
178854,112
178855,185
178856,341
178857,283
178858,260
178859,372
178860,32
178861,204
178862,3
178863,29
178864,84
178865,83
178866,92
178869,44
178870,1
178871,5
178872,1
178873,4
178874,203
178875,118
178877,7
178878,8
178879,17
178880,16
178881,19
178882,511
178883,41
178884,25
178885,17
178886,20
178888,22
178889,10
178890,8
178891,53
178892,113
178893,324
178894,70
178895,135
178896,46
178897,94
178898,7
178899,1
178901,406
178902,29
178903,31
178904,9
178905,12
178906,18
178907,2
178908,11
178909,2
178910,9
178978,366
178979,708
178980,305
178981,247
178982,14
178983,117
178984,53
178985,84
178986,11
178987,84
178988,29
178989,130
178990,53
178991,1058
178992,248
178993,25
178994,89
178995,612
178996,118
178997,1393
178998,839
178999,113
179000,28
179001,41
179002,309
179003,365
179004,21
179005,217
179006,139
179007,152
179008,180
179009,180
179010,4
179011,44
179012,178
179013,90
179014,43
179015,30
179016,212
179017,237
179018,60
179019,143
179020,152
179021,46
179022,12
179023,26
179024,22
179025,560
179026,57
179027,279
179028,69
179029,394
179030,695
179031,71
179032,623
179033,48
179034,12
179035,34
179037,100
179038,519
179039,17
179040,423
179041,25
179042,1
179043,1
179044,2
179045,198
179046,324
179047,110
179048,369
179049,28
179050,9
179051,22
179052,20
179053,12
179054,11
179055,4
179056,43
179057,13
179058,17
179059,72
179060,11
179061,15
179062,134
179063,139
179064,204
179066,60
179067,52
179068,227
179070,133
179071,52
179072,45
179073,110
179074,36
179075,17
179076,29
179077,15
179078,47
179079,32
179080,33
179081,33
179082,22
179083,149
179084,198
179085,13
179086,21
179087,12
179088,69
179090,31
179091,4
179092,7
179093,225
179094,108
179095,834
179096,187
179097,269
179098,20
179099,16
179100,72
179101,81
179102,177
179103,602
179104,14
179105,25
179106,1
179107,6
179108,17
179109,30
179110,2
179111,325
179112,22
179113,9
179114,15
179115,27
179116,65
179117,8
179118,9
179119,21
179120,72
179121,2
179122,56
179123,7
179124,5
179125,17
179126,8
179127,3
179128,41
179129,38
179130,43
179131,9
179132,7
179134,96
179136,25
179146,7
179160,56
179162,45
179192,11
179193,8
179200,20
179300,66
179347,9
179348,23
179349,6
179350,94
179351,9
179352,10
179353,11
179355,23
179356,34
179357,61
179358,1
179359,157
179360,84
179361,7
179362,17
179363,215
179364,63
179365,46
179366,46
179367,19
179368,29
179369,58
179374,3
179375,68
179378,4
179379,286
179380,32
179381,30
179382,29
179383,23
179384,25
179385,37
179386,18
179387,306
179388,511
179389,42
179390,89
179391,81
179392,18
179393,7
179394,1
179395,126
179396,125
179397,97
179398,216
179399,27
179400,1
179401,45
179402,68
179403,23
179404,796
179405,133
179406,95
179407,46
179408,54
179409,13
179410,1343
179411,179
179413,7
179414,10
179415,84
179416,68
179417,12
179418,121
179419,36
179420,989
179421,14
179422,2
179423,16
179424,36
179425,106
179426,64
179427,23
179428,2
179429,24
179430,20
179431,62
179432,29
179433,135
179434,109
179435,10
179436,14
179437,59
179591,1
179593,91
179594,34
179595,1
179596,84
179597,1
179598,15
179599,41
179600,32
179601,2
179602,12
179603,17
179604,9
179605,1
179606,4
179607,4
179608,22
179609,12
179610,5
179611,18
179612,6
179613,17
179614,5
179615,2
179616,213
179617,113
179618,25
179619,18
179620,48
179621,17
179623,63
179624,17
179625,203
179626,267
179627,51
179628,8
179629,24
179630,4
179631,28
179632,137
179633,22
179634,101
179635,9
179636,19
179637,9
179638,86
179639,4
179640,111
179641,16
179643,14
179645,72
179646,29
179647,34
179652,6
179653,51
179654,163
179655,14
179656,6
179657,39
179658,57
179659,30
179660,9
179661,22
179662,6
179663,15
179664,53
179665,46
179669,2
179670,11
179671,1
179672,260
179673,343
179674,82
179675,27
179676,12
179677,4
179678,7
179681,32
179682,21
179683,1
179684,3
179685,73
179686,81
179687,56
179688,466
179689,13
179690,17
179691,11
179693,141
179694,135
179695,28
179696,17
179697,8
179698,3
179699,6
179700,2
179701,18
179702,60
179703,60
179704,44
179705,4
179707,11
179708,3
179709,15
179710,19
179711,218
179713,15
179714,58
179715,1
179717,10
179718,20
179719,35
182074,44
182075,204
182080,11
182084,6
182086,10
182088,4
182089,333
182092,258
182093,151
182094,150
182095,64
182096,10
182101,22
182104,43
182105,61
182107,7
182112,24
182113,49
182115,8
182116,4
182117,55
182119,31
182120,102
182122,8
182125,10
182128,13
182130,98
182132,28
182133,33
182135,155
182138,171
182139,40
182140,30
182142,39
182144,56
182146,24
182147,3
182164,2
182167,4
182169,104
182177,230
182179,28
182180,73
182181,38
182185,3
182186,21
182188,155
182192,17
182193,41
182197,134
182198,103
182203,343
182207,306
182208,2
182211,264
182212,78
182214,1
182217,205
182219,73
182221,7
182223,22
182226,31
182227,19
182228,17
182231,441
182233,7
182236,12
182237,34
182238,170
182242,244
182243,18
182245,9
182248,5
182249,331
182250,123
182251,33
182256,14
182258,18
182259,44
182263,9
182266,23
182331,44
182338,75
182349,48
182353,6
182358,5
182360,7
182362,22
182367,14
182369,3
182371,10
182384,2
182388,30
182389,10
182403,6
182404,26
182411,3
182412,70
182414,74
182420,134
182431,74
182436,414
182437,17
182441,3
182443,6
182445,20
182447,6
182466,19
182470,89
182478,28
182481,23
182486,71
182493,95
182494,14
182495,21
182497,30
182500,13
182513,3
182518,34
182550,53
182551,83
182554,24
182562,71
182564,262
182570,8
182578,137
182585,6
182587,19
182591,11
182593,3
182603,3
182606,17
182607,11
182608,13
182609,13
182613,5
182615,38
182619,19
182622,63
182626,33
182629,7
182634,61
182638,22
182642,66
182645,21
182647,18
182661,17
182664,18
182665,114
182666,8
182668,49
182669,10
182670,21
182671,17
182673,4
182682,7
182685,120
182688,22
182692,100
182693,27
182694,97
182695,6
182698,6
182703,77
182704,1
182705,9
182706,82
182708,181
182709,118
182710,73
182711,20
182712,127
182713,13
182714,44
182715,19
182718,53
182720,31
182721,7
182722,18
182723,1
182724,6
182725,2
182726,1
182727,105
182728,62
182729,7
182730,17
182731,61
182736,4
182737,9
182738,4
182745,49
182747,28
182749,13
182753,6
182754,4
182756,21
182757,51
182758,6
182760,11
182761,16
182763,42
182764,17
182766,10
182769,9
182770,14
182772,85
182776,35
182777,31
182778,4
182779,14
182780,19
182783,3
182787,41
182791,13
182792,159
182793,36
182794,19
182806,17
182807,5
182815,17
182843,4
182845,16
182847,94
182848,131
182849,81
182860,15
182901,2
182904,7
182905,1
182912,5
182929,94
182930,24
182932,44
182933,19
182941,7
182942,34
182944,50
182964,58
182965,101
182966,60
182969,582
182970,31
182971,4
182990,2
182992,1
182993,22
182994,4
182997,2
183002,9
183003,163
183004,63
183005,67
183013,149
183014,85
183021,67
183022,47
183023,73
183024,174
183025,50
183028,38
183029,29
183052,116
183053,121
183054,481
183059,212
183060,7
183061,89
183062,27
183064,31
183065,44
183066,60
183067,9
183068,28
183069,31
183070,89
183071,15
183072,40
183073,107
183074,334
183075,279
183076,1
183077,5
183084,275
183085,63
183086,175
183087,17
183090,10
183091,12
183092,8
183110,96
183111,127
183112,52
183113,74
183114,75
183115,39
183116,27
183117,6
183118,5
183120,18
183122,16
183123,6
183124,5
183127,27
183128,106
183130,4
183131,6
183132,31
183133,15
183134,4
183135,10
183136,17
183137,2
183139,21
183140,9
183141,7
183142,2
183145,15
183146,33
183147,30
183148,24
183149,1
183151,11
183152,7
183153,9
183155,10
183157,24
183158,18
183159,12
183160,2
183161,5
183163,2
183164,3
183165,18
183166,29
183167,293
183169,267
183171,164
183172,116
183173,318
183174,75
183175,74
183177,162
183178,87
183182,11
183186,23
183187,22
183188,98
183198,8
183200,4
183203,318
183338,72
183352,7
183358,21
183362,1
183375,7
183380,2
183392,1
183397,1
183398,3
183401,1
183402,2
183406,3
183411,3
183414,17
183415,11
183420,3
183421,2
183423,4
183425,2
183428,4
183429,2
183434,5
183439,1
183443,3
183446,1
183447,4
183448,1
183450,1
183456,1
183460,1
183882,178
183883,38
183884,66
183885,8
183886,939
183887,288
183888,36
183889,1376
183890,22
183891,17
183892,18
183893,289
183894,1577
183895,219
183896,14
183897,9
183898,66
183899,127
183900,15
183901,1027
183902,41
183903,33
183904,19
183905,19
183906,17
183907,52
183908,39
183909,214
183910,9
183911,19
183912,52
183913,211
183914,216
183915,18
183916,17
183917,2
183918,6
183919,2
183920,83
183921,212
183922,10
183923,8
183924,9
183925,11
183926,39
183927,1421
183928,59
183929,145
183930,81
183931,133
183932,74
183933,113
183934,139
183935,8
183936,4
183937,11
183938,23
183939,23
183940,10
183941,94
183942,6
183944,5
183946,4
183947,83
184061,1
184063,1
184064,28
184065,19
184066,25
184067,6
184068,51
184069,2
184071,42
184072,2
184074,103
184075,12
184076,15
184077,8
184078,9
184079,11
184080,6
184081,24
184082,4
184083,6
184087,62
184088,31
184089,37
184090,16
184091,6
184092,31
184093,47
184094,60
184095,57
184096,2
184097,204
184098,202
184099,75
184100,182
184101,20
184102,18
184103,15
184104,11
184105,8
184106,175
184107,1
184108,69
184109,30
184110,13
184111,12
184112,3
184113,3
184115,2
184116,6
184117,61
184118,26
184119,24
184120,24
184121,17
184122,67
184123,1
184124,2
184125,9
184126,12
184128,15
184129,7
184132,64
184133,133
184134,20
184135,165
184136,131
184137,28
184138,25
184139,2
184140,23
184142,67
184143,191
184144,21
184146,10
184148,3
184149,1
184152,27
184153,33
184154,17
184155,2
184156,39
184157,82
184158,12
184160,16
184167,37
184172,135
184187,36
184508,10
184516,27
184518,22
184519,79
184540,52
184541,176
184542,106
184548,91
184759,4
184764,30
184778,166
184780,14
184808,2
184817,10
184838,176
184847,5
184849,5
184864,15
184865,16
184913,6
184918,14
184919,52
184920,2
184921,137
184922,115
184923,9
184924,49
184925,94
184926,52
184927,617
184928,176
184929,30
184930,30
184931,29
184932,16
184933,367
184935,50
184936,118
184937,53
184939,6
184940,118
184941,15
184942,23
184943,17
184944,32
184945,8
184946,4
184947,192
184948,126
184949,247
184950,78
184951,39
184952,23
184954,36
184955,78
184956,104
184957,55
184958,57
184959,1128
184960,79
184962,22
184963,254
184964,231
184965,21
184966,52
184967,2
184968,542
184969,13
184970,131
184971,39
184973,138
184974,26
184975,52
184976,133
184977,58
184978,7
184979,52
184982,12
184983,54
184984,90
184985,3
184987,120
184988,62
184989,58
184990,8
184991,3
184992,16
184993,6
184994,24
184995,5
184996,4
184997,1
184998,29
184999,65
185000,463
185001,6
185002,2
185003,8
185004,29
185006,38
185008,9
185106,7
185121,4
185124,7
185128,2
185129,1
185136,3
185138,6
185139,9
185140,12
185143,5
185148,4
185150,1
185151,14
185152,6
185153,5
185156,6
185159,19
185161,20
185163,4
185166,2
185167,1
185172,5
185178,34
185179,8
185180,17
185183,4
185184,66
185188,2
185189,21
185191,20
185192,2
185193,9
185196,8
185199,38
185204,1
185205,3
185210,1
185214,1
185221,21
185226,77
185230,5
185232,5
185233,1
185234,35
185237,1
185238,25
185239,9
185240,7
185242,13
185243,15
185246,1
185250,5
185251,4
185252,3
185253,1
185258,11
185278,8
185291,33
185340,3
186139,3
186140,2
186141,2
186144,4
186146,3
186150,2
186152,3
186155,1
186160,4
186174,1
186181,13
186183,3
186209,4
186210,1
186213,1
186214,1
186218,2
186230,1
186232,1
186236,3
186245,3
186246,2
186248,2
186249,1
186250,2
186262,44
186263,4
186264,2
186265,19
186266,9
186267,5
186268,1
186269,5
186270,11
186271,4
186272,8
186273,10
186274,10
186276,7
186278,2
186288,53
186289,1
186290,1
186291,5
186292,5
186293,3
186296,8
186440,4
186445,1
186446,1
186451,1
186453,1
186461,1
186462,5
186463,1
186466,3
186473,6
186477,4
186478,1
186482,1
186484,3
186489,5
186492,1
186496,1
186503,1
186506,1
186509,2
186511,1
186512,3
186525,231
186526,278
186527,100
186528,565
186529,2060
186530,81
186531,51
186532,148
186533,91
186534,1059
186535,692
186536,53
186537,6
186538,18
186539,3
186541,41
186543,164
186544,583
186545,33
186546,5
186547,42
186548,51
186549,59
186550,57
186551,42
186552,4
186557,19
186558,11
186559,154
186560,47
186561,4
186562,4
186563,2
186564,4
186565,8
186566,6
186570,144
186571,39
186572,101
186573,72
186574,7
186575,5
186576,167
186577,78
186578,7
186580,13
186581,3
186582,23
186583,8
186584,75
186585,15
186586,4
186587,27
186588,22
186589,16
186590,19
186591,78
186592,91
186593,30
186594,6
186595,72
186596,28
186597,8
186598,6
186600,29
186601,12
186602,9
186604,1
186605,50
186606,44
186607,20
186608,38
186609,71
186610,40
186611,413
186612,108
186613,9
186614,528
186615,222
186616,7
186617,65
186618,83
186619,35
186620,21
186621,54
186622,30
186623,74
186624,63
186626,264
186627,21
186630,3
186631,14
186632,14
186634,4
186635,1
186636,8
186637,8
186639,26
186640,4
186641,8
186643,8
186644,23
186645,2
186646,9
186647,6
186650,6
186654,4
186658,6
186659,1
186660,4
186664,124
186665,4
186667,7
186668,2
186671,4
186672,5
186673,1
186674,11
186676,1
186677,1
186679,2
186680,1
186682,2
186684,16
186689,35
186690,4
186692,3
186696,1
186697,3
186699,42
186701,1
186705,1
186706,4
186709,7
186711,1
186713,1
186714,93
186715,673
186716,44
186717,5
186718,98
186719,23
186720,12
186721,209
186723,13
186724,33
186725,903
186726,54
186727,6
186728,198
186729,16
186730,1
186731,251
186732,146
186733,75
186734,18
186735,641
186736,192
186737,29
186738,4
186739,83
186740,70
186741,10
186742,6
186743,68
186744,30
186745,112
186746,65
186747,442
186748,71
186749,125
186750,20
186751,221
186752,38
186754,215
186755,17
186756,3
186757,186
186758,23
186759,53
186760,9
186761,2
186762,3
186763,2
186765,23
186767,5
186768,23
186769,2
186770,2
186772,36
186773,10
186774,2
186776,3
186777,3
186778,3
186782,6
186783,2
186789,13
186790,5
186792,3
186795,2
186796,3
186797,2
186798,9
186799,2
186800,39
186801,5
186804,1
186806,1
186807,21
186808,9
186810,2
186813,11
186814,1
186815,2
186820,1
186827,3
186829,2
186831,16
186832,2
186835,2
186837,7
186838,4
186840,2
186843,2
186844,2
186847,4
186848,1
186852,2
186853,1
186856,2
186861,1
186862,2
186865,2
186866,1
186869,5
186870,1
186871,4
186879,6
186880,2
186885,1
186887,1
186892,9
186901,2
186902,3
186916,1
186932,2
186938,3
186945,3
186949,3
186951,2
186957,142
186958,263
186959,321
186960,259
186961,1562
186962,707
186963,68
186964,42
186965,170
186966,69
186967,83
186968,560
186969,275
186970,307
186971,444
186972,726
186973,57
186974,49
186975,6
186976,140
186977,8
186978,59
186979,20
186980,246
186981,51
186982,9
186983,40
186984,12
186985,26
186986,402
186987,14
186988,15
186989,754
186990,58
186991,106
186992,150
186993,170
186994,485
186995,76
186996,2
187016,1
187019,4
187020,1
187022,2
187023,2
187028,2
187029,1
187030,1
187034,1
187045,2
187046,1
187050,1
187054,1
187096,1
187100,1
187109,1
187113,3
187128,1
187133,1
187136,1
187139,3
187145,1
187150,2
187151,2
187154,3
187160,1
187179,1
187199,1
187211,3
187217,3
187272,7
187273,1
187279,6
187280,3
187288,1
187289,1
187291,1
187295,9
187296,13
187297,9
187300,8
187301,11
187302,10
187305,7
187306,1
187314,3
187320,2
187321,5
187322,3
187324,14
187325,2
187327,2
187329,1
187333,20
187334,1
187338,2
187345,7
187349,3
187351,1
187352,3
187354,2
187363,5
187364,1
187365,1
187366,1
187370,5
187371,18
187373,1
187380,8
187381,1
187383,8
187384,6
187399,1
187400,2
187402,3
187403,1
187417,3
187419,1
187421,4
187427,1
187429,3
187433,1
187435,1
187436,2
187440,1
187445,38
187449,1
187450,1
187461,1
187466,122
187467,169
187468,191
187469,114
187470,225
187471,154
187472,224
187473,648
187474,224
187475,13
187477,415
187478,145
187479,216
187480,31
187481,220
187482,196
187483,45
187484,7
187485,36
187486,80
187487,22
187488,7
187490,63
187491,106
187492,225
187493,980
187494,9
187495,18
187496,84
187498,19
187499,13
187500,165
187501,50
187502,32
187504,64
187505,154
187506,70
187507,3
187508,26
187509,29
187510,9
187511,164
187512,99
187513,11
187514,5
187515,17
187516,48
187517,15
187518,453
187519,62
187520,18
187521,17
187522,29
187523,16
187524,1630
187525,10
187527,20
187528,10
187529,12
187530,2
187532,4
187534,11
187535,38
187536,31
187537,4
187538,16
187539,34
187540,62
187541,22
187542,10
187543,1
187544,2
187545,13
187546,7
187547,8
187548,78
187549,209
187550,45
187551,18
187552,5
187553,28
187554,15
187555,25
187556,31
187557,10
187558,18
187559,3
187560,16
187561,10
187562,1
187563,76
187564,4
187565,9
187566,9
187567,86
187568,22
187569,8
187570,3
187571,22
187572,2
187573,19
187575,9
187576,50
187577,17
187579,74
187580,8
187581,28
187582,1
187583,151
187584,352
187585,156
187586,34
187587,23
187588,5
187589,124
187590,46
187592,6
187593,3
187594,9
187595,50
187596,214
187597,64
187598,5
187599,11
187600,4
187601,28
187602,72
187603,29
187604,2
187605,2
187607,30
187608,14
187611,55
187612,3
187621,2
187640,3
187641,1
187649,2
187680,3
187688,1
187702,11
187703,11
187704,1
187705,227
187706,103
187707,8
187708,294
187709,68
187710,24
187711,112
187712,33
187713,3
187714,36
187715,294
187716,63
187717,13
187719,145
187720,26
187721,19
187722,51
187723,22
187724,3
187726,1
187727,37
187728,8
187729,7
187730,10
187731,26
187732,7
187733,76
187734,20
187735,5
187736,43
187737,6
187738,19
187739,40
187740,9
187741,16
187742,70
187743,64
187744,13
187745,53
187746,23
187747,14
187748,38
187749,19
187750,25
187751,22
187752,7
187753,106
187754,34
187755,7
187756,1
187758,16
187760,20
187761,5
187763,11
187778,3
187783,1
187784,6
187785,8
187797,5
187806,1
187810,3
187812,1
187820,2
187832,2
187856,4
187859,1
188225,3
188226,129
188228,109
188229,11
188230,50
188231,1
188234,8
188235,70
188238,80
188241,25
188242,35
188244,193
188245,138
188248,2
188253,123
188255,12
188256,40
188261,118
188262,48
188263,10
188265,83
188266,295
188267,33
188268,32
188269,88
188270,1
188272,2
188274,178
188275,7
188276,399
188277,195
188278,3
188279,35
188280,182
188281,42
188283,23
188284,25
188285,4
188286,3
188287,3
188288,12
188289,115
188291,39
188292,17
188293,204
188294,3
188299,167
188301,4
188303,4
188307,123
188314,20
188316,22
188317,221
188318,12
188319,15
188320,83
188321,2
188322,5
188323,3
188324,49
188325,112
188327,27
188329,6
188331,42
188332,2
188334,30
